Textbox116,Textbox129,Textbox103,Textbox156,Textbox167,Textbox162,Textbox164,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,MARGINAL (BELOW 1.0),,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,37149,36754,17521,0,17521,17383,0,17383,3228,0,3228
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,1,UI,1383,1186,555,0,555,476,0,476,61,0,61
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,38334,37939,18076,0,18076,17859,0,17859,3289,0,3289
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,SMALL (1.0 - 1.99),,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,35905,35488,36120,0,36458,35258,0,35596,5543,0,5627
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,2,UI,2923,2714,2292,42,2630,2039,42,2377,259,4,357
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,38201,37575,38412,42,39088,37297,42,37973,5802,4,5984
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,SEMI-MEDIUM (2.0 - 3.99),,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,62045,61708,97019,0,97437,96119,0,96537,14770,0,14871
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,3,UI,3372,3372,4903,135,5824,4903,135,5824,658,17,953
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,65080,64742,101922,135,103261,101022,135,102361,15428,17,15824
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,MEDIUM (4.0 - 9.99),,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,48608,48315,149728,0,152226,147994,0,150492,54714,0,55350
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,4,UI,1464,1171,4609,474,6506,3189,474,5086,439,29,820
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,50072,49487,154337,474,158732,151183,474,155578,55154,29,56170
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,LARGE (10 AND ABOVE),,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,11508,11386,67542,0,68562,64775,0,65304,13309,0,13579
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,5,UI,245,245,269,0,269,269,0,269,73,0,73
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,11753,11631,67811,0,68831,65044,0,65573,13383,0,13652
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,ALL GROUPS,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,195215,193651,367930,0,372204,361529,0,365312,91566,0,92655
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,UI,9387,8688,12628,651,15784,10876,651,14032,1490,50,2264
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,203440,201374,380558,651,387988,372405,651,379344,93056,50,94919

Textbox117,Textbox130,Textbox104,Textbox157,Textbox169,Textbox163,Textbox165,col14,col15,col16,col17,col18,col141,col19,col20,col21,col151,col22,col23,col24,col161,col25,col26
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,MARGINAL (BELOW 1.0),,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,37149,36754,17521,0,0,17521,17383,0,0,17383,3228,0,0,3228
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,1,UI,1383,1186,555,0,0,555,476,0,0,476,61,0,0,61
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,38334,37939,18076,0,0,18076,17859,0,0,17859,3289,0,0,3289
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,SMALL (1.0 - 1.99),,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,35905,35488,36120,338,0,36458,35258,338,0,35596,5543,83.5,0,5627
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,2,UI,2923,2714,2292,296,42,2630,2039,296,42,2377,259,93.94,4,357
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,38201,37575,38412,634,42,39088,37297,634,42,37973,5802,177,4,5984
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,SEMI-MEDIUM (2.0 - 3.99),,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,62045,61708,97019,418,0,97437,96119,418,0,96537,14770,101.16,0,14871
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,3,UI,3372,3372,4903,786,135,5824,4903,786,135,5824,658,278.19,17,953
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,65080,64742,101922,1204,135,103261,101022,1204,135,102361,15428,379,17,15824
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,MEDIUM (4.0 - 9.99),,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,48608,48315,149728,2498,0,152226,147994,2498,0,150492,54714,635.42,0,55350
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,4,UI,1464,1171,4609,1423,474,6506,3189,1423,474,5086,439,351.38,29,820
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,50072,49487,154337,3921,474,158732,151183,3921,474,155578,55154,987,29,56170
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,LARGE (10 AND ABOVE),,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,11508,11386,67542,1020,0,68562,64775,529,0,65304,13309,269.35,0,13579
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,5,UI,245,245,269,0,0,269,269,0,0,269,73,0,0,73
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,11753,11631,67811,1020,0,68831,65044,529,0,65573,13383,269,0,13652
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,ALL GROUPS,,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,195215,193651,367930,4274,0,372204,361529,3783,0,365312,91566,1089.43,0,92655
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,UI,9387,8688,12628,2505,651,15784,10876,2505,651,14032,1490,723.51,50,2264
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER MAIZE AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,203440,201374,380558,6779,651,387988,372405,6288,651,379344,93056,1813,50,94919

