Textbox116,Textbox129,Textbox103,Textbox156,Textbox167,Textbox162,Textbox164,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,MARGINAL (BELOW 1.0),,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,102357,100578,61965,0,61965,60594,0,60594,15102,0,15102
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,1,UI,395,395,119,0,119,119,0,119,20,0,20
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,102752,100974,62084,0,62084,60713,0,60713,15122,0,15122
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,SMALL (1.0 - 1.99),,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,167000,164913,204469,0,204469,198440,0,198440,48566,0,48566
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,2,UI,0,0,0,0,0,0,0,0,0,0,0
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,167000,164913,204469,0,204469,198440,0,198440,48566,0,48566
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,SEMI-MEDIUM (2.0 - 3.99),,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,317305,313259,771143,0,771143,749933,0,749933,184025,0,184025
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,3,UI,0,0,0,0,0,0,0,0,0,0,0
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,317305,313259,771143,0,771143,749933,0,749933,184025,0,184025
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,MEDIUM (4.0 - 9.99),,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,267930,263245,1297278,0,1297278,1242447,0,1242447,294413,0,294413
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,4,UI,293,293,586,0,586,586,0,586,146,0,146
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,268223,263538,1297864,0,1297864,1243033,0,1243033,294560,0,294560
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,LARGE (10 AND ABOVE),,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,50196,48360,592565,0,592565,554323,0,554323,134967,0,134967
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,5,UI,0,0,0,0,0,0,0,0,0,0,0
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,50196,48360,592565,0,592565,554323,0,554323,134967,0,134967
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,ALL GROUPS,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,904788,890355,2927420,0,2927420,2805737,0,2805737,677073,0,677073
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,UI,688,688,705,0,705,705,0,705,166,0,166
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,905476,891044,2928125,0,2928125,2806442,0,2806442,677239,0,677239

Textbox117,Textbox130,Textbox104,Textbox157,Textbox169,Textbox163,Textbox165,col14,col15,col16,col17,col18,col141,col19,col20,col21,col151,col22,col23,col24,col161,col25,col26
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,MARGINAL (BELOW 1.0),,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,102357,100578,61965,0,0,61965,60594,0,0,60594,15102,0,0,15102
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,1,UI,395,395,119,0,0,119,119,0,0,119,20,0,0,20
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,102752,100974,62084,0,0,62084,60713,0,0,60713,15122,0,0,15122
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,SMALL (1.0 - 1.99),,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,167000,164913,204469,0,0,204469,198440,0,0,198440,48566,0,0,48566
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,2,UI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,167000,164913,204469,0,0,204469,198440,0,0,198440,48566,0,0,48566
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,SEMI-MEDIUM (2.0 - 3.99),,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,317305,313259,771143,0,0,771143,749933,0,0,749933,184025,0,0,184025
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,3,UI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,317305,313259,771143,0,0,771143,749933,0,0,749933,184025,0,0,184025
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,MEDIUM (4.0 - 9.99),,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,267930,263245,1297278,0,0,1297278,1242447,0,0,1242447,294413,0,0,294413
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,4,UI,293,293,586,0,0,586,586,0,0,586,146,0,0,146
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,268223,263538,1297864,0,0,1297864,1243033,0,0,1243033,294560,0,0,294560
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,LARGE (10 AND ABOVE),,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,50196,48360,592565,0,0,592565,554323,0,0,554323,134967,0,0,134967
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,5,UI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,50196,48360,592565,0,0,592565,554323,0,0,554323,134967,0,0,134967
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,ALL GROUPS,,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,904788,890355,2927420,0,0,2927420,2805737,0,0,2805737,677073,0,0,677073
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,UI,688,688,705,0,0,705,705,0,0,705,166,0,0,166
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER PADDY AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,905476,891044,2928125,0,0,2928125,2806442,0,0,2806442,677239,0,0,677239

