Textbox116,Textbox129,Textbox103,Textbox156,Textbox167,Textbox162,Textbox164,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,MARGINAL (BELOW 1.0),,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,150176,148793,88240,0,88240,87177,0,87177,21386,0,21386
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,1,UI,988,790,437,0,437,358,0,358,45,0,45
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,150966,149583,88677,0,88677,87535,0,87535,21431,0,21431
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,SMALL (1.0 - 1.99),,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,202488,201235,255969,0,255969,251122,0,251122,60028,0,60028
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,2,UI,2088,2088,1620,0,1620,1620,0,1620,317,0,317
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,203740,202488,257589,0,257589,252742,0,252742,60345,0,60345
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,SEMI-MEDIUM (2.0 - 3.99),,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,358106,354397,896733,0,896733,876467,0,876467,202814,0,202814
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,3,UI,2698,2698,3915,0,3915,3915,0,3915,607,0,607
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,360467,356758,900648,0,900648,880382,0,880382,203421,0,203421
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,MEDIUM (4.0 - 9.99),,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,295455,292234,1477672,0,1477672,1434265,0,1434265,385552,0,385552
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,4,UI,878,878,3900,0,3900,3900,0,3900,805,0,805
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,296334,293113,1481572,0,1481572,1438165,0,1438165,386357,0,386357
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,LARGE (10 AND ABOVE),,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,55461,54114,684425,0,684425,652671,0,652671,171146,0,171146
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,5,UI,245,245,269,0,269,269,0,269,73,0,73
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,55461,54114,684694,0,684694,652940,0,652940,171219,0,171219
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,ALL GROUPS,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,1061686,1050773,3403039,0,3403039,3301702,0,3301702,840925,0,840925
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,UI,6897,6699,10141,0,10141,10062,0,10062,1848,0,1848
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,1066968,1056056,3413180,0,3413180,3311764,0,3311764,842773,0,842773

Textbox117,Textbox130,Textbox104,Textbox157,Textbox169,Textbox163,Textbox165,col14,col15,col16,col17,col18,col141,col19,col20,col21,col151,col22,col23,col24,col161,col25,col26
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,MARGINAL (BELOW 1.0),,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,150176,148793,88240,0,0,88240,87177,0,0,87177,21386,0,0,21386
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,1,UI,988,790,437,0,0,437,358,0,0,358,45,0,0,45
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,150966,149583,88677,0,0,88677,87535,0,0,87535,21431,0,0,21431
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,SMALL (1.0 - 1.99),,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,202488,201235,255969,0,0,255969,251122,0,0,251122,60028,0,0,60028
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,2,UI,2088,2088,1620,0,0,1620,1620,0,0,1620,317,0,0,317
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,203740,202488,257589,0,0,257589,252742,0,0,252742,60345,0,0,60345
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,SEMI-MEDIUM (2.0 - 3.99),,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,358106,354397,896733,0,0,896733,876467,0,0,876467,202814,0,0,202814
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,3,UI,2698,2698,3915,0,0,3915,3915,0,0,3915,607,0,0,607
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,360467,356758,900648,0,0,900648,880382,0,0,880382,203421,0,0,203421
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,MEDIUM (4.0 - 9.99),,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,295455,292234,1477672,0,0,1477672,1434265,0,0,1434265,385552,0,0,385552
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,4,UI,878,878,3900,0,0,3900,3900,0,0,3900,805,0,0,805
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,296334,293113,1481572,0,0,1481572,1438165,0,0,1438165,386357,0,0,386357
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,LARGE (10 AND ABOVE),,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,55461,54114,684425,0,0,684425,652671,0,0,652671,171146,0,0,171146
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,5,UI,245,245,269,0,0,269,269,0,0,269,73,0,0,73
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,55461,54114,684694,0,0,684694,652940,0,0,652940,171219,0,0,171219
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,ALL GROUPS,,,,,,,,,,,,,,
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,I,1061686,1050773,3403039,0,0,3403039,3301702,0,0,3301702,840925,0,0,840925
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,UI,6897,6699,10141,0,0,10141,10062,0,0,10062,1848,0,0,1848
"INPUT SURVEY, 2016-2017",TABLE 4A: ESTIMATED AREA UNDER WHEAT AND USAGE OF UREA BY SIZE GROUPS ,STATE : PUNJAB,DISTRICT :AMRITSAR,N  46.00  %,P  0.00  %,K   0.00  %,,T,1066968,1056056,3413180,0,0,3413180,3311764,0,0,3311764,842773,0,0,842773

